"CATRA Test ID","Stroke","Cut Depth (forward + back)","Blade ID"
500,20,6,"MAT-8-01"
501,21,5,"MAT-8-01"
502,22,5,"MAT-8-01"
503,23,5,"MAT-8-01"
504,24,5,"MAT-8-01"
505,25,4,"MAT-8-01"
506,26,3,"MAT-8-01"
507,27,3,"MAT-8-01"
508,28,3,"MAT-8-01"
509,29,3,"MAT-8-01"
510,30,3,"MAT-8-01"
511,31,3,"MAT-8-01"
512,32,2,"MAT-8-01"
513,33,3,"MAT-8-01"
514,34,3,"MAT-8-01"
515,35,3,"MAT-8-01"
516,36,3,"MAT-8-01"
517,37,3,"MAT-8-01"
518,38,3,"MAT-8-01"
519,39,2,"MAT-8-01"
520,40,2,"MAT-8-01"
521,41,2,"MAT-8-01"
522,42,2,"MAT-8-01"
523,43,2,"MAT-8-01"
524,44,2,"MAT-8-01"
525,45,2,"MAT-8-01"
526,46,2,"MAT-8-01"
527,47,2,"MAT-8-01"
528,48,2,"MAT-8-01"
529,49,2,"MAT-8-01"
530,50,2,"MAT-8-01"
531,51,2,"MAT-8-01"
532,52,2,"MAT-8-01"
533,53,2,"MAT-8-01"
534,54,2,"MAT-8-01"
535,55,2,"MAT-8-01"
536,56,2,"MAT-8-01"
537,57,2,"MAT-8-01"
538,58,1,"MAT-8-01"
539,59,1,"MAT-8-01"
540,60,2,"MAT-8-01"
541,1,26,"MDE-8-01"
542,2,17,"MDE-8-01"
543,3,17,"MDE-8-01"
544,4,14,"MDE-8-01"
545,5,12,"MDE-8-01"
546,6,12,"MDE-8-01"
547,7,10,"MDE-8-01"
548,8,8,"MDE-8-01"
549,9,7,"MDE-8-01"
550,10,6,"MDE-8-01"
551,11,5,"MDE-8-01"
552,12,4,"MDE-8-01"
553,13,5,"MDE-8-01"
554,14,4,"MDE-8-01"
555,15,3,"MDE-8-01"
556,16,3,"MDE-8-01"
557,17,2,"MDE-8-01"
558,18,2,"MDE-8-01"
559,19,2,"MDE-8-01"
560,20,1,"MDE-8-01"
561,21,1,"MDE-8-01"
562,22,1,"MDE-8-01"
563,23,1,"MDE-8-01"
564,24,1,"MDE-8-01"
565,25,1,"MDE-8-01"
566,26,1,"MDE-8-01"
567,27,1,"MDE-8-01"
568,28,1,"MDE-8-01"
569,29,1,"MDE-8-01"
570,30,1,"MDE-8-01"
571,31,1,"MDE-8-01"
572,32,0,"MDE-8-01"
573,33,0,"MDE-8-01"
574,34,0,"MDE-8-01"
575,35,0,"MDE-8-01"
576,36,0,"MDE-8-01"
577,37,0,"MDE-8-01"
